Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP0359,Support,54,77517,11,52,69,Yes
EMP0360,R&D,36,132949,8,39,78,No
EMP0361,R&D,24,137296,18,43,90,Yes
EMP0362,Marketing,34,86345,11,50,71,No
EMP0363,Operations,26,96379,18,53,76,No
EMP0364,HR,25,82729,7,55,71,No
EMP0365,Sales,51,104342,7,57,83,Yes
EMP0366,Sales,28,99324,16,59,69,No
EMP0367,Sales,46,93739,8,47,70,No
EMP0368,Operations,40,90251,9,41,83,No
EMP0369,R&D,27,138423,16,54,89,Yes
EMP0370,HR,57,67190,8,53,52,Yes
EMP0371,Support,39,77803,5,36,69,No
EMP0372,Operations,37,102804,16,60,85,Yes
EMP0373,R&D,50,127951,6,53,77,No
EMP0374,IT,55,98404,2,46,67,No
EMP0375,Finance,24,89413,1,43,86,No
EMP0376,HR,34,93964,17,44,87,Yes
EMP0377,R&D,52,105174,1,30,62,No
EMP0378,Marketing,55,92428,10,30,72,No
EMP0379,Support,32,69944,4,59,80,No
EMP0380,Marketing,43,91602,9,55,78,Yes
EMP0381,Support,50,97057,19,37,83,No
EMP0382,Finance,23,92713,3,42,74,No
EMP0383,R&D,24,118659,1,52,81,No
EMP0384,Operations,57,85903,4,58,87,No
EMP0385,Sales,34,110863,19,45,71,No
EMP0386,HR,32,100952,11,30,100,Yes
EMP0387,IT,46,116924,3,39,79,No
EMP0388,Operations,45,87993,5,55,82,No
EMP0389,Operations,24,82965,4,43,75,No
EMP0390,Support,41,67328,1,50,79,No
EMP0391,R&D,52,116693,8,41,63,No
EMP0392,Support,26,95925,20,39,71,Yes
EMP0393,Finance,26,90977,9,34,59,No
EMP0394,Operations,44,78035,4,32,89,No
EMP0395,R&D,44,128153,9,33,80,No
EMP0396,Support,27,68998,1,32,80,No
EMP0397,Operations,45,75025,1,39,57,No
EMP0398,Sales,57,113378,17,35,85,Yes
EMP0399,IT,38,115621,10,38,70,No
EMP0400,Marketing,51,80973,3,41,75,No
EMP0401,R&D,59,129910,20,36,68,No
EMP0402,Operations,60,98326,13,55,76,Yes
EMP0403,Operations,48,101541,20,34,69,Yes
EMP0404,Operations,32,94328,13,60,90,Yes
EMP0405,R&D,57,118687,8,40,59,No
EMP0406,Sales,58,116269,18,35,90,No
EMP0407,HR,50,74883,7,44,81,No
EMP0408,Support,52,63511,5,50,53,No
EMP0409,IT,48,117789,13,32,59,No
EMP0410,Support,55,80266,2,55,80,No
EMP0411,Finance,27,101488,8,51,71,Yes
EMP0412,Support,42,74772,14,33,68,Yes
EMP0413,Sales,53,101053,17,47,61,No
EMP0414,R&D,58,131501,17,34,67,No
EMP0415,R&D,27,135270,10,43,79,No
EMP0416,IT,43,116660,10,40,72,No
EMP0417,R&D,43,126375,16,33,57,Yes
EMP0418,HR,28,72520,1,57,82,No
EMP0419,IT,36,121785,17,35,64,No
EMP0420,Sales,46,94543,6,35,71,No
EMP0421,Support,22,92370,20,58,80,Yes
EMP0422,Sales,34,105830,9,54,90,No
EMP0423,Finance,57,95140,4,55,80,Yes
EMP0424,Finance,37,116175,16,46,69,No
EMP0425,Support,60,86151,13,48,83,Yes
EMP0426,Marketing,60,109511,19,32,82,Yes
EMP0427,Finance,36,106069,10,33,82,Yes
EMP0428,IT,57,122493,13,43,91,Yes
EMP0429,IT,56,118545,6,45,73,No
EMP0430,HR,43,69136,1,45,82,Yes
EMP0431,Support,56,80809,17,50,56,No
EMP0432,R&D,52,124713,6,32,75,Yes
EMP0433,Sales,39,93791,2,38,76,No
EMP0434,R&D,56,141183,17,33,84,Yes
EMP0435,Operations,55,76565,2,54,72,Yes
EMP0436,Sales,40,79705,2,44,60,No
EMP0437,Finance,49,101185,4,54,78,No
EMP0438,Operations,60,92345,14,35,67,Yes
EMP0439,Sales,34,87377,2,48,69,Yes
EMP0440,Marketing,39,114104,19,38,82,No
EMP0441,Finance,29,113946,14,59,84,Yes
EMP0442,IT,36,110577,5,52,78,No
EMP0443,Support,52,68196,5,48,63,No
EMP0444,Finance,46,103658,17,53,62,No
EMP0445,Operations,50,93629,16,40,53,No
EMP0446,R&D,43,116406,3,55,63,No
EMP0447,Support,34,86667,16,38,70,No
EMP0448,R&D,42,115081,2,31,83,No
EMP0449,R&D,22,115861,4,59,83,No
EMP0450,Support,33,73049,5,58,64,No
EMP0451,Marketing,26,103531,12,38,90,Yes
EMP0452,Support,40,83389,8,43,83,Yes
EMP0453,Finance,21,105060,7,45,89,No
EMP0454,HR,21,80875,11,56,82,No
EMP0455,Support,29,92654,16,32,75,Yes
EMP0456,Operations,44,88270,10,34,80,No
EMP0457,IT,30,98938,3,46,59,No
EMP0458,Sales,30,103848,14,49,68,No
EMP0459,Sales,26,89341,4,34,75,No
EMP0460,Support,41,64837,5,37,58,No
EMP0461,Sales,56,116971,20,49,73,No
EMP0462,Marketing,34,98498,17,49,65,Yes
EMP0463,Support,39,78808,2,55,98,Yes
EMP0464,Sales,52,104605,20,32,57,No
EMP0465,HR,44,77045,11,34,57,No
EMP0466,IT,51,116373,3,30,89,Yes
EMP0467,Marketing,34,90600,2,59,94,Yes
EMP0468,Support,48,88794,13,32,82,Yes
EMP0469,IT,38,125863,3,39,98,No
EMP0470,Operations,46,107754,19,50,87,No
EMP0471,Finance,40,106855,14,53,83,Yes
EMP0472,Support,28,87175,15,49,72,Yes
EMP0473,IT,28,107933,1,52,76,No
EMP0474,Marketing,31,100284,12,34,76,No
EMP0475,Marketing,28,76546,1,40,78,No
EMP0476,Finance,52,104000,15,46,66,Yes
EMP0477,IT,44,117544,6,38,78,No
EMP0478,Sales,53,84418,1,31,49,No
EMP0479,Sales,23,110606,16,41,69,No
EMP0480,HR,56,86722,14,37,79,Yes
EMP0481,Operations,38,83127,3,48,65,Yes
EMP0482,Sales,54,90718,2,60,85,Yes
EMP0483,R&D,39,130144,10,40,86,Yes
EMP0484,Marketing,60,90983,8,44,81,No
EMP0485,R&D,33,145476,18,54,76,No
EMP0486,Sales,55,103955,12,50,68,No
EMP0487,HR,42,71814,1,54,62,No
EMP0488,Sales,54,88911,8,43,55,No
EMP0489,IT,38,118065,3,31,97,Yes
EMP0490,Operations,50,68865,3,48,62,No
EMP0491,Support,25,90791,19,48,91,Yes
EMP0492,Marketing,41,104579,13,52,81,Yes
EMP0493,Operations,49,94278,9,37,82,No
EMP0494,Finance,30,96465,4,35,78,No
EMP0495,Support,28,89351,18,41,82,Yes
EMP0496,Finance,26,100990,6,55,73,No
EMP0497,HR,34,84728,11,34,82,Yes
EMP0498,HR,40,78298,9,56,79,Yes
EMP0499,Support,49,81419,18,53,69,No
EMP0500,IT,28,112354,1,31,73,No
EMP0501,Sales,29,96761,7,56,60,No
EMP0502,Marketing,25,81189,1,32,85,No
EMP0503,R&D,29,118057,3,58,87,Yes
EMP0504,R&D,24,118552,6,59,57,No
EMP0505,Support,52,63567,1,42,71,No
EMP0506,Marketing,38,91235,15,58,68,Yes
EMP0507,Sales,39,102387,16,43,85,Yes
EMP0508,IT,47,117644,7,50,65,No
EMP0509,Sales,55,89071,1,42,77,No
EMP0510,Operations,57,90813,17,40,63,No
EMP0511,HR,41,99202,20,37,96,Yes
EMP0512,R&D,54,133618,12,54,79,No
EMP0513,IT,27,120813,8,51,75,No
EMP0514,HR,35,104014,19,57,89,Yes
EMP0515,IT,32,110578,8,48,66,No
EMP0516,HR,43,94328,19,48,92,Yes
EMP0517,Sales,52,101120,18,39,76,Yes
EMP0518,Sales,22,99361,17,45,77,No
EMP0519,Sales,29,108824,11,52,84,Yes
EMP0520,HR,30,107727,19,52,94,Yes
EMP0521,Finance,54,114098,12,60,91,Yes
EMP0522,Finance,42,100285,10,40,83,No
EMP0523,Support,52,86275,11,35,70,No
EMP0524,Operations,35,88672,19,56,60,Yes
EMP0525,Marketing,29,96135,6,53,93,Yes
EMP0526,HR,32,102340,20,40,75,No
EMP0527,Sales,57,80474,4,59,64,No
EMP0528,Operations,31,83465,3,56,75,No
EMP0529,Operations,49,76592,1,38,79,No
EMP0530,Finance,21,98779,2,42,92,No
EMP0531,IT,47,115261,16,58,64,No
EMP0532,Sales,31,112844,15,32,85,No
EMP0533,Marketing,22,90637,11,38,79,No
EMP0534,IT,25,133864,18,60,73,No
EMP0535,Operations,59,106640,20,58,72,No
EMP0536,Support,31,68074,2,33,75,No
EMP0537,Sales,47,115223,18,53,88,Yes
EMP0538,Sales,27,87567,2,42,68,No
EMP0539,R&D,30,125898,2,41,80,No
EMP0540,R&D,33,116440,4,30,75,No
EMP0541,Marketing,26,105415,16,57,90,Yes
EMP0542,Marketing,26,102429,18,42,88,Yes
EMP0543,Support,44,75965,6,44,87,Yes
EMP0544,Marketing,57,89024,2,34,78,No
EMP0545,Finance,26,96462,12,55,44,Yes
EMP0546,HR,45,96320,17,43,66,No
EMP0547,R&D,57,130440,8,45,71,No
EMP0548,IT,28,135649,15,35,86,No
EMP0549,Sales,33,80183,5,31,43,No
EMP0550,IT,59,129572,9,40,91,No
EMP0551,Finance,26,100225,13,47,66,No
EMP0552,HR,60,100957,19,46,81,Yes
EMP0553,Support,30,75345,5,48,57,Yes
EMP0554,Finance,57,88887,4,55,64,No
EMP0555,Operations,47,83650,9,42,66,Yes
EMP0556,Marketing,46,84672,5,49,62,No
EMP0557,Support,23,81207,13,58,88,Yes
EMP0558,Marketing,44,83292,1,40,62,No
EMP0559,Marketing,38,105986,16,57,73,Yes
EMP0560,Marketing,49,96290,11,38,69,No
EMP0561,Finance,33,112687,15,36,85,No
EMP0562,Operations,24,88804,17,55,68,Yes
EMP0563,Support,29,92538,17,58,68,No
EMP0564,HR,36,65078,2,44,71,No
EMP0565,Sales,38,103573,12,56,63,Yes
EMP0566,HR,36,88082,12,45,77,No
EMP0567,R&D,58,129537,18,41,62,No
EMP0568,Finance,39,91563,1,42,93,Yes
EMP0569,Sales,35,97659,8,51,79,Yes
EMP0570,HR,51,77687,5,50,91,No
EMP0571,HR,35,90943,9,49,78,No
EMP0572,Marketing,48,91063,13,57,65,No
EMP0573,Sales,50,93876,10,51,58,Yes
EMP0574,Operations,56,95831,20,49,72,Yes
EMP0575,Finance,51,106914,3,40,92,Yes
EMP0576,Marketing,33,91091,5,46,73,Yes
EMP0577,HR,59,78217,13,51,72,No
EMP0578,Marketing,37,98161,14,42,80,No
EMP0579,Sales,42,95352,8,51,54,No
EMP0580,Operations,53,81285,10,57,70,No
EMP0581,IT,39,118393,4,45,81,No
EMP0582,IT,42,109770,3,37,81,Yes
EMP0583,Marketing,47,100046,11,41,74,No
EMP0584,HR,58,99368,19,60,84,Yes
EMP0585,Sales,53,87368,4,57,68,Yes
EMP0586,IT,29,108454,7,40,61,No
EMP0587,R&D,30,127688,11,57,70,No
EMP0588,IT,41,100706,2,30,54,No
EMP0589,IT,57,108970,6,45,79,No
EMP0590,Support,46,77521,14,60,54,No
EMP0591,HR,55,76229,7,53,73,No
EMP0592,Sales,22,91819,1,50,76,Yes
EMP0593,Operations,40,72786,5,33,63,Yes
